id,year,date_start,country,region,conflict_name,dyad_name,side_a,side_b,where_description,latitude,longitude,deaths_a,deaths_b,deaths_civilians,best,type_of_violence,source_headline
624237,2026,2026-03-31,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Al-Wasita Al-Qasimiya area,33.33139,35.25278,0,0,0,2,1,"Four martyrs as a result of two raids on Deir Kifa and Qasmiya, and other Israeli raids targeted Zawtar al-Gharbiya, al-Qantara and Bint Jbeil"
624232,2026,2026-03-31,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Jnaharea in Beirut,33.871944,35.509722,0,1,0,7,1,"The Israeli army claimed to have assassinated Hezbollah's southern front commander, Youssef Hashem, in yesterday's raid on Beirut.;Ministry of Health: 7 martyrs and 26 wounded in the final toll of the Israeli raid on the Al-Janah area;Spotlight on Terrorism – March 2026"
624234,2026,2026-03-31,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Al-Najjariyain the Sidon district,33.472678,35.349406,0,0,2,5,1,Ministry of Health: 4 martyrs in the initial toll of an Israeli raid on the town of Al-Najjariya - Sidon district;8 martyrs in Israeli raids on Lebanon
624461,2026,2026-03-31,Israel,Middle East,Israel: Palestine,Government of Israel - Hamas,Government of Israel,Hamas,"communications area of ​​Jabalia city, north of the Gaza Strip",31.5272,34.483471,0,0,0,1,1,"One martyr and several wounded in an Israeli airstrike in northern Gaza, bringing the total number of martyrs to 72,280."
624456,2026,2026-03-30,Israel,Middle East,Israel: Palestine,Government of Israel - Hamas,Government of Israel,Hamas,"near Al-Shafi’i Mosque in the Al-Zaytoun neighborhood, south of Gaza City",31.516667,34.45,0,0,0,3,1,"Three martyrs and several wounded as a result of the occupation's bombing of a group of citizens in the Al-Zaytoun neighborhood, south of Gaza City."
625369,2026,2026-03-30,Iran,Middle East,"Iran - Israel, United States of America","Government of Iran - Government of Israel, Government of United States of America",Government of Iran,"Government of Israel, Government of United States of America",Mahallat County,33.91667,50.41667,0,0,5,11,1,At least 15 killed in U.S.-Israeli strikes across two Iranian provinces
624767,2026,2026-03-30,Kuwait,Middle East,"Iran - Israel, United States of America","Government of Iran - Government of Israel, Government of United States of America",Government of Iran,"Government of Israel, Government of United States of America",a power and water desalination plant in Kuwait,29.3375,47.6581,0,0,1,1,1,"Indian worker killed in Iranian attack on Kuwait power, desalination plant"
624710,2026,2026-03-30,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,southern Lebanon,33.197668,35.355287,0,0,0,2,1,Indonesia lays to rest peacekeepers killed in Lebanon
624457,2026,2026-03-30,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,town of Barashit,33.175845,35.443247,0,0,0,1,1,The occupation forces launched two raids on the southern suburbs of Beirut.
624455,2026,2026-03-30,Israel,Middle East,Israel: Palestine,Government of Israel - Hamas,Government of Israel,Hamas,"village of Kharsa in the town of Dura, southwest of Hebron",31.48232,35.01742,0,0,0,1,1,"A young man was killed by Israeli occupation forces in Kharsa, southwest of Hebron.;Humanitarian Situation Report | 2 April 2026;Spotlight on Terrorism – March 2026;Israeli forces shoot dead two Palestinians in West Bank"
624244,2026,2026-03-30,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Hanawiya town,33.22111,35.27722,0,0,0,2,1,National News Agency: Martyrs as a result of 4 Israeli raids on Hanawiya in southern Lebanon
624243,2026,2026-03-30,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Al-Rahab area in the southern suburbs of Beirut,33.871944,35.509722,0,3,0,3,1,Ministry of Health: One martyr and 17 wounded as a result of the Israeli raid on the Al-Rahab area in the southern suburbs;Spotlight on Terrorism – March 2026
624242,2026,2026-03-30,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Al-Amiriya on the Qalila-Sour road,33.197816,35.223716,0,0,0,1,1,"The army: One soldier was killed and five others, including an officer, were wounded as a result of an Israeli attack."
624460,2026,2026-03-30,Israel,Middle East,Israel: Palestine,Government of Israel - Hamas,Government of Israel,Hamas,"entrance to Abu Assi, southwest of Al-Bureij camp in the central Gaza Strip .",31.439531,34.402939,0,1,0,2,1,Two citizens were killed and six others were injured in an Israeli bombing southwest of Al-Bureij camp.;Spotlight on Terrorism – March 2026
624241,2026,2026-03-30,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,southern Lebanon,33.197668,35.355287,4,0,0,4,1,"Haaretz: Number of soldiers killed in southern Lebanon since the start of the war rises to 10;Lebanon: The death toll rises to 1,247 martyrs and 3,680 wounded"
624458,2026,2026-03-30,Israel,Middle East,Israel: Palestine,Government of Israel - Hamas,Government of Israel,Hamas,"Anab checkpoint, east of the city of Tulkarm .",32.310367,35.028628,0,0,0,1,1,A young man from Jenin was killed by Israeli occupation forces at the Anab checkpoint east of Tulkarm.;Humanitarian Situation Report | 2 April 2026;Spotlight on Terrorism – March 2026;Israeli forces shoot dead two Palestinians in West Bank;Israeli forces shoot dead two Palestinians in West Bank
624453,2026,2026-03-29,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,town of Al-Haniyah in southern Lebanon,33.1857,35.22329,0,0,0,7,1,"Seven martyrs, including paramedics, in escalating Israeli raids on Lebanon"
624452,2026,2026-03-29,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,town of Jouya,33.239722,35.331944,0,0,0,2,1,"Seven martyrs, including paramedics, in escalating Israeli raids on Lebanon"
624450,2026,2026-03-29,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,"vicinity of Bint Jbeil Hospital in the city of Bint Jbeil, southern Lebanon",33.12,35.43,0,0,2,2,1,Two paramedics killed and others injured in Israeli shelling near a hospital in southern Lebanon
624245,2026,2026-03-29,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Maroun al-Ras,33.10381,35.4444,2,0,0,2,1,"Hezbollah: We targeted a force of 15 soldiers in Houla and Beit Leef, and destroyed a Merkava tank in Maroun and another Merkava tank in Qouzah."
625132,2026,2026-03-29,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,south Lebanon,33.197668,35.355287,1,0,0,1,1,Israel military says another soldier killed in south Lebanon
625365,2026,2026-03-29,Iran,Middle East,"Iran - Israel, United States of America","Government of Iran - Government of Israel, Government of United States of America",Government of Iran,"Government of Israel, Government of United States of America",Bushehr,28.96887,50.83657,0,0,4,4,1,"Iran war live: Tehran warns US, Israeli universities; Houthis fire missiles


AU 


Ted Regencia"
625366,2026,2026-03-29,Iran,Middle East,"Iran - Israel, United States of America","Government of Iran - Government of Israel, Government of United States of America",Government of Iran,"Government of Israel, Government of United States of America",Bandar Pol city of Khamir County,27.008333,55.738333,0,0,0,5,1,"US, Israeli strikes hit Iran port city near Hormuz strait: state media;5 killed in U.S.-Israeli raid on port city in Iran"
624451,2026,2026-03-29,Israel,Middle East,Israel: Palestine,Government of Israel - Hamas,Government of Israel,Hamas,"Bani Suheila roundabout, east of Khan Yunis city",31.344444,34.303056,0,0,1,1,1,A boy was killed by Israeli occupation forces east of Khan Younis.;Israel’s Ongoing Killings in Gaza Reveal a Persistent Pattern of Genocide
624449,2026,2026-03-29,Israel,Middle East,Israel: Palestine,Government of Israel - Hamas,Government of Israel,Hamas,"vicinity of Well 19 in the southwestern area of Al-Mawasi, Khan Younis.",31.34822,34.256182,0,8,1,9,1,"Six martyrs, including a girl, and others injured in an Israeli bombing of Khan Younis;The number of martyrs has risen to 9 following an Israeli bombing that targeted the Khan Younis area last night.;A woman died from her wounds following an Israeli airstrike south of Khan Younis.;Israel’s Ongoing Killings in Gaza Reveal a Persistent Pattern of Genocide;Spotlight on Terrorism – March 2026;Israeli strikes hit two Gaza police checkpoints, killing six, medics say;Israeli strikes hit two Gaza police checkpoints, killing six, medics say"
623611,2026,2026-03-29,Syria,Middle East,XXX652 - Civilians,XXX652 - Civilians,XXX652,Civilians,Jadida Artouz Al-Fadl Town,33.43998,36.15956,0,0,1,1,3,Security chaos | Robbery turns into mur*der in Rif Dimashq
624585,2026,2026-03-29,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,UNIFIL deployment area in south Lebanon,33.197668,35.355287,0,0,0,1,1,Kemhan Benarkan Satu Prajurit TNI Gugur di Lebanon;Indonesia lays to rest peacekeepers killed in Lebanon
624441,2026,2026-03-28,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Kfar Tebnit,33.352398,35.515096,0,0,1,2,1,"Lebanese and Syrian martyrs in the occupation's bombing of southern Lebanon;The army command mourned the martyr, Corporal Fadl Ayoub: He was martyred in an Israeli raid in the town of Kfar Tebnit."
624445,2026,2026-03-28,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,town of Deir al-Zahrani,33.43325,35.46174,0,0,0,7,1,"Lebanese and Syrian martyrs in the occupation's bombing of southern Lebanon;Ministry of Health: 7 citizens martyred and 8 wounded as a result of the raid on Deir al-Zahrani;The army command mourned the martyr, Corporal Muhammad Tufaili: He was martyred in an Israeli raid that targeted him in Deir al-Zahrani."
624447,2026,2026-03-28,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Al-Barad road in the Jezzine area.,33.540836,35.586241,0,1,2,4,1,"Martyrs, including journalists, in Israeli raids on southern Lebanon;Spotlight on Terrorism – March 2026"
624446,2026,2026-03-28,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,"al-Awainat area, between the towns of Rmeish and Dibil.",33.121111,35.366111,0,0,1,2,1,"Martyrs, including journalists, in Israeli raids on southern Lebanon"
624464,2026,2026-03-28,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Baydar al-Faqani in the town of Taybeh,33.27583,35.52139,2,0,0,2,1,"Hezbollah: We lured an Israeli force into an ambush as it advanced from Taybeh towards the Litani River, inflicting casualties."
624444,2026,2026-03-28,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Zawtar al-Sharqiya road,33.325833,35.476111,0,0,2,2,1,Lebanese and Syrian martyrs in the occupation's bombing of southern Lebanon
624442,2026,2026-03-28,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Hadatha area.,33.164618,35.38996,0,0,0,1,1,Lebanese and Syrian martyrs in the occupation's bombing of southern Lebanon
624448,2026,2026-03-28,Israel,Middle East,Israel: Palestine,Government of Israel - Hamas,Government of Israel,Hamas,"near the Bani Suheila roundabout, east of Khan Younis.",31.344444,34.303056,0,0,0,1,1,One martyr and several injuries in an Israeli airstrike on a vehicle east of Khan Younis;Israel Systematically Targets Medical Personnel and Civilian Vehicles in Gaza;Spotlight on Terrorism – March 2026
624440,2026,2026-03-28,Israel,Middle East,Israel: Palestine,Government of Israel - Hamas,Government of Israel,Hamas,east of Gaza City,31.516667,34.45,0,0,0,2,1,"Two brothers were killed and others were injured, some seriously, by Israeli occupation forces in Gaza City.;Israeli military kills three Palestinian men in Gaza, health officials say"
623613,2026,2026-03-28,Syria,Middle East,XXX652 - Civilians,XXX652 - Civilians,XXX652,Civilians,Al-Khandak” area adjacent to “Tel Al-Baiaa” graveyards in north eastern side of Al-Raqqa City,35.952829,39.007879,0,0,1,1,3,Mysterious crime | Body of unidentified woman found north east of Al-Raqqa
624443,2026,2026-03-28,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,town of Al-Haniyah in southern Lebanon.,33.1857,35.22329,0,0,6,7,1,Lebanese and Syrian martyrs in the occupation's bombing of southern Lebanon;Ministry of Health: 7 martyrs and 9 wounded as a result of the Israeli raid on the town of Al-Haniya
623614,2026,2026-03-27,Syria,Middle East,XXX652 - Civilians,XXX652 - Civilians,XXX652,Civilians,Hama province,35.233333,37.2,0,0,1,1,3,Ongoing security chaos | Civilian killed by unidentified gunmen while traveling towards Hama
624436,2026,2026-03-27,Israel,Middle East,Israel: Palestine,Government of Israel - Hamas,Government of Israel,Hamas,"entrance to Qalandia refugee camp, north of occupied Jerusalem.",31.868011,35.228474,0,0,0,0,1,"A young man was killed by Israeli occupation forces in Qalandiya refugee camp.;Young man Sufian Abu Leil was killed by Israeli occupation forces in Qalandia camp, north of Jerusalem.;Humanitarian Situation Report | 2 April 2026;Spotlight on Terrorism – March 2026;IDF fatally shoots two Palestinians in East Jerusalem, Health Ministry says"
624439,2026,2026-03-27,Israel,Middle East,Israel: Palestine,Government of Israel - Hamas,Government of Israel,Hamas,"Dheisheh refugee camp, south of Bethlehem.",31.694019,35.184156,0,0,0,0,1,The child Adam Dahman was martyred in the Dheisheh camp south of Bethlehem.;Humanitarian Situation Report | 2 April 2026;Spotlight on Terrorism – March 2026;Israeli forces shoot dead Palestinian teenager: ministry
624459,2026,2026-03-27,Israel,Middle East,Israel: Palestine,Government of Israel - Hamas,Government of Israel,Hamas,"city of Beit Lahia, north of the Gaza Strip",31.546397,34.495142,0,0,1,1,1,"An elderly woman was killed and several others, including a child, were seriously injured by Israeli fire in the Gaza Strip."
626990,2026,2026-03-27,Israel,Middle East,"Iran - Israel, United States of America","Government of Iran - Government of Israel, Government of United States of America",Government of Iran,"Government of Israel, Government of United States of America",Tel Aviv,32.066667,34.783333,0,0,1,1,1,One killed in Israel as army reports missiles fired from Iran;One killed in Israel as army reports missiles fired from Iran;Man killed Friday by missile shrapnel in Tel Aviv named Vyacheslav Vidmant;Israel says Iran missile attack kills man in Tel Aviv
625128,2026,2026-03-27,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Zawtar al-Sharqiya,33.325833,35.476111,0,0,0,2,1,11 killed in Israeli airstrikes on Lebanon amid growing humanitarian crisis
625129,2026,2026-03-27,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Kfar Remmen,33.386175,35.496605,0,0,0,2,1,11 killed in Israeli airstrikes on Lebanon amid growing humanitarian crisis
624465,2026,2026-03-27,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Hawita al-Ghadirat,33.871944,35.509722,0,2,0,2,1,Health Ministry: Two martyrs as a result of the Israeli enemy's raid on Hawita al-Ghadir at dawn today;Israeli army says killed 2 senior Hezbollah members in Beirut;Spotlight on Terrorism – March 2026
624437,2026,2026-03-27,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,town of Al-Bazaliyya in the northern Bekaa.,34.175652,36.315983,0,0,1,1,1,1142 martyrs and 3315 wounded since the start of the occupation's aggression against Lebanon
624438,2026,2026-03-27,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,town of Al-Saksakiyah in the city of Sidon.,33.4375,35.287222,0,0,3,6,1,1142 martyrs and 3315 wounded since the start of the occupation's aggression against Lebanon
625364,2026,2026-03-27,Iran,Middle East,"Iran - Israel, United States of America","Government of Iran - Government of Israel, Government of United States of America",Government of Iran,"Government of Israel, Government of United States of America",Urmia,37.555278,45.0725,0,0,0,2,1,Iran emergency workers search for survivors after deadly US-Israel attacks
625363,2026,2026-03-27,Iran,Middle East,"Iran - Israel, United States of America","Government of Iran - Government of Israel, Government of United States of America",Government of Iran,"Government of Israel, Government of United States of America",Qom,34.6401,50.8764,0,0,0,6,1,Iran emergency workers search for survivors after deadly US-Israel attacks
623615,2026,2026-03-26,Syria,Middle East,XXX652 - XXX652,XXX652 - XXX652,XXX652,XXX652,Al-Shaab (People’s) pool in Al-Raml Al-Felistiny area in Latakia City,35.531683,35.790106,0,0,0,1,2,Affected by wounds | Civilian kil*led and nearly 20 others injured in violent fight in Al-Shaab (People’s) pool in Latakia
624766,2026,2026-03-26,United Arab Emirates,Middle East,"Iran - Israel, United States of America","Government of Iran - Government of Israel, Government of United States of America",Government of Iran,"Government of Israel, Government of United States of America","Sweihan Road, Abu Dhabi",24.45118,54.39696,0,0,0,2,1,"Two people killed in Abu Dhabi after missile interception, media office says"
624466,2026,2026-03-26,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,southern Lebanon,33.197668,35.355287,1,0,0,1,1,Israeli army: A soldier from the Golani Brigade was killed during fighting in southern Lebanon.;Israel army says another soldier killed in south Lebanon
625361,2026,2026-03-26,Iran,Middle East,"Iran - Israel, United States of America","Government of Iran - Government of Israel, Government of United States of America",Government of Iran,"Government of Israel, Government of United States of America",city of Bandar Abbas,27.1865,56.2808,3,0,0,3,1,"Urgent: Israel kills IRGC navy commander: Israeli state media;Israel defence minister says Iran Guards navy commander killed in strike;Iran confirms death of IRGC Navy commander Tangsiri

CR 

Source: Tasnim news agency, Tehran, in Persian 0735 GMT 30 Mar 26"
625360,2026,2026-03-26,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,southern Lebanon,33.197668,35.355287,1,0,0,1,1,Israeli soldier killed in south Lebanon fighting: military
625125,2026,2026-03-26,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Bint Jbeil,33.12,35.43,0,0,0,3,1,Lebanon says Israeli strikes kill five as Hezbollah claims new attacks
625124,2026,2026-03-26,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Nabatieh area,33.37717,35.48383,0,0,0,2,1,Lebanon says Israeli strikes kill five as Hezbollah claims new attacks
623617,2026,2026-03-25,Syria,Middle East,XXX652 - Civilians,XXX652 - Civilians,XXX652,Civilians,Al-Nofous neighbourhood in Manbij City,36.528153,37.954954,0,0,1,1,3,Stabbed by “white weapon” | Young man kil*led in Manbij in eastern Aleppo countryside
624538,2026,2026-03-25,Israel,Middle East,Israel: Palestine,Government of Israel - Hamas,Government of Israel,Hamas,"al-‘Abbarah Street, north of Bani Suhaila",31.342778,34.325344,0,0,1,1,1,Israel’s Ongoing Killings in Gaza Reveal a Persistent Pattern of Genocide
626637,2026,2026-03-25,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Kafr Houneh in south Lebanon,33.492396,35.589789,0,1,0,1,1,Spotlight on Terrorism – March 2026
626788,2026,2026-03-25,Iraq,Middle East,XXX645,XXX645 - XXX645,XXX645,XXX645,Iraq's northern Kirkuk city,35.468056,44.392222,3,0,0,3,1,"Policeman killed, 4 wounded in bomb explosion in N. Iraq;AIRSTRIKE ON HEADQUARTERS OF IRAQ'S SHI'ITE POPULAR MOBILISATION FORCES
(PMF) KILLS ONE FIGHTER, INJURES TWO IN KIRKUK - SECURITY SOURCES;Strike kills Iraqi fighter in northern Kirkuk: medical, security sources;DEATH TOLL FROM AIRSTRIKE ON HEADQUARTERS OF IRAQ'S SHI’ITE POPULAR
MOBILISATION FORCES (PMF) IN KIRKUK RISES TO THREE, WITH SIX WOUNDED - SECURITY
AND PMF SOURCES;Strike kills Iraqi fighter, wounds six more;Iraq's ex-paramilitary PMF says 'Zionist-US' strike killed 3"
624468,2026,2026-03-25,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Qouzah town,33.116741,35.342071,2,0,0,2,1,"Hezbollah: We targeted a gathering of enemy soldiers in the town of Qouzah with a swarm attack, inflicting casualties."
624432,2026,2026-03-25,Israel,Middle East,Government of Israel - Civilians,Government of Israel - Civilians,Government of Israel,Civilians,"in the town of Jabal al-Mukaber, south of occupied Jerusalem",31.754195,35.239927,0,0,1,1,3,A martyr killed by Israeli occupation forces in Jabal al-Kubra in Jerusalem;Jerusalem bids farewell to its martyr Qassem Shuqairat in a solemn procession to the Al-Sawahra cemetery;Humanitarian Situation Report | 2 April 2026;Israeli police say shot Palestinian dead in east Jerusalem
624434,2026,2026-03-25,Israel,Middle East,Government of Israel - Civilians,Government of Israel - Civilians,Government of Israel,Civilians,"Masafer Yatta, south of Hebron .",31.447778,35.09,0,0,0,1,3,"One martyr and several injuries resulted from Israeli forces opening fire on several vehicles, chasing them, and causing them to overturn south of Hebron."
623616,2026,2026-03-25,Syria,Middle East,XXX652 - XXX652,XXX652 - XXX652,XXX652,XXX652,Ariqa Town in Al-Suwaidaa countryside,32.889767,36.483028,0,0,0,2,2,Al-Suwaidaa | Four people kil*led and injured in family infighting
624433,2026,2026-03-25,Israel,Middle East,Israel: Palestine,Government of Israel - Hamas,Government of Israel,Hamas,"“Al-Sit Amira” camp south of Deir al-Balah, in the central Gaza Strip",31.417479,34.35014,0,0,0,1,1,"One martyr and several wounded following Israeli shelling in central Gaza Strip;Israel’s Ongoing Killings in Gaza Reveal a Persistent Pattern of Genocide;Gaza civil defence says Israeli strike kills one, tents on fire"
625362,2026,2026-03-25,Iran,Middle East,"Iran - Israel, United States of America","Government of Iran - Government of Israel, Government of United States of America",Government of Iran,"Government of Israel, Government of United States of America",village of Kafri,29.58333,52.5,0,0,2,2,1,"Two teenagers killed in Shiraz, two dead in Abu Dhabi as Iran war expands"
624470,2026,2026-03-24,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Adloun in the Sidon district,33.404331,35.274736,0,0,0,4,1,"Ministry of Health: 4 martyrs and one wounded in the raid on Adloun, and 2 martyrs and 4 wounded in the raid on Mieh Mieh yesterday"
624473,2026,2026-03-24,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Selaa,33.256667,35.383889,0,0,0,2,1,"Ministry of Health: Two martyrs and five wounded in Sal'ata, three martyrs in Sarifa, and two wounded in Aytit as a result of Israeli raids"
624472,2026,2026-03-24,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,area between Adloun and Abu Aswad in southern Lebanon,33.404331,35.274736,0,0,0,2,1,"Raids on Harouf, Jebchit, and Jouya; one martyr killed by targeting a motorcycle in Mahrouna; two martyrs and two wounded in a raid on Adloun."
624471,2026,2026-03-24,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Mahrouna in the Tyre district,33.21876,35.34263,0,0,0,1,1,"Raids on Harouf, Jebchit, and Jouya; one martyr killed by targeting a motorcycle in Mahrouna; two martyrs and two wounded in a raid on Adloun."
624430,2026,2026-03-24,Israel,Middle East,Israel: Palestine,Government of Israel - Hamas,Government of Israel,Hamas,"Mawasi Khan Younis, south of the Gaza Strip.",31.34822,34.256182,0,0,1,1,1,A martyr and injuries from Israeli fire in the Gaza Strip
624469,2026,2026-03-24,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Mieh Mieh camp,33.541667,35.391389,0,0,0,2,1,"Ministry of Health: 4 martyrs and one wounded in the raid on Adloun, and 2 martyrs and 4 wounded in the raid on Mieh Mieh yesterday"
624467,2026,2026-03-24,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Nabatieh,33.37717,35.48383,0,0,2,2,1,The Ministry of Health mourned two paramedics who were killed in an airstrike on their motorcycle in Nabatieh yesterday: 42 paramedics have been killed since March 2.
624475,2026,2026-03-24,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Bishamoun in the Aley district,33.781936,35.531131,0,0,1,3,1,"Ministry of Health: The death toll from the Israeli raid on Bishamoun has risen to 3 martyrs, including a child, and 4 wounded."
624806,2026,2026-03-24,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,"Halta, Arqoub area",33.30883,35.66674,0,0,0,1,1,"17 killed, several wounded in Israeli strikes across Lebanon"
624804,2026,2026-03-24,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Tayr Debba in the Tyre district,33.27444,35.27861,0,0,0,2,1,"17 killed, several wounded in Israeli strikes across Lebanon"
